playerid,name,team,age,pa,hr,sb,avg,obp,slg,ops,bb,so,iso,bb_percent,k_percent,xwoba,xba,woba,ev,barrel_batted_rate,hard_hit_percent,wrc_plus
805299,Brandyn Garcia,,25,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
676395,Robert Garcia,,29,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
554340,Yimi García,,34,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
623352,Josh Hader,,31,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
678020,Seth Halvorsen,,25,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
676106,Emerson Hancock,,26,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
664854,Ryan Helsley,,30,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
682120,Tim Herrin,,28,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
656546,Jeff Hoffman,,32,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
686753,Drey Jameson,,27,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
445276,Kenley Jansen,,37,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
643377,Griffin Jax,,30,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
592454,Tommy Kahnle,,35,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
687330,Kevin Kelly,,27,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
547184,Michael Kelly,,32,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
552640,Andrew Kittredge,,35,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
673929,Jordan Leasure,,26,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
668984,Casey Legumina,,28,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
669674,Sam Long,,29,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
663738,Daniel Lynch IV,,28,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
573009,Joe Mantiply,,34,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
679885,Justin Martinez,,23,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
664208,Phil Maton,,32,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
554431,Tyler Matzek,,34,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
675848,Juan Mejia,,24,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
571946,Shelby Miller,,34,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
571948,Hoby Milner,,34,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
666661,Juan Morillo,,26,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
